Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/30/2008,1758.475,1322.014,465.86,66.016,,66.016,-95.415,-97.077,1.662,0.0,,-788.042,-370.344,0.0,,,-370.344,,,0.0,0.0,0.0,,,,,-417.698,116.202,-555.636,709.923,,,,-96.604,155.681,-252.285,58.519,,1086.635,,,
09/30/2008,2698.411,1084.612,498.56,1147.419,,1147.419,-32.18,49.683,-81.863,0.0,,-54.099,-319.805,0.0,,,-319.805,,,0.0,0.0,0.0,,,,,265.706,-3630.555,-555.557,-3279.837,,,,470.2,471.892,-1.692,-265.361,,-986.243,,,
12/31/2008,1232.583,1536.226,422.555,-806.858,,-806.858,80.66,-944.918,-140.526,1166.104,,-352.185,-264.592,0.0,,,-264.592,,,318.645,318.645,0.0,,,,,-406.238,421.281,-558.509,541.281,,,,65.103,73.782,-8.679,373.406,,1301.679,,,
03/31/2009,698.718,1438.637,464.045,-1380.925,186.947,-1567.872,176.961,375.665,-198.704,0.0,0.0,-1605.758,-252.151,0.0,,0.0,-252.151,-252.151,0.0,0.0,,,-1492.059,0.0,-1492.059,0.0,138.452,1684.602,-559.081,2787.242,1770.418,3000.0,-1983.176,-543.559,279.394,-822.953,0.0,-14.789,762.773,,,
06/30/2009,1713.801,1288.105,537.398,-81.388,57.964,-139.352,-30.314,51.592,-81.906,0.0,0.0,-2137.392,-262.74,0.0,,0.0,-262.74,-262.74,0.0,0.0,0.0,0.0,-17.332,0.0,-17.332,0.0,-1857.32,-329.623,-618.227,277.007,777.007,0.0,-500.0,11.597,13.425,-1.828,0.0,82.723,-670.491,,,
09/30/2009,3030.024,1480.367,540.714,731.592,62.587,669.005,277.351,82.992,194.359,0.0,0.0,-1518.437,-328.71,0.0,,0.0,-328.71,-328.71,0.0,0.0,0.0,0.0,-9.512,0.0,-9.512,0.0,-1180.215,-856.333,-618.376,-266.352,-266.352,0.0,0.0,28.395,29.0,-0.605,0.0,16.357,671.611,,,
12/31/2009,1832.617,1539.0,547.353,934.059,58.859,875.2,-1187.795,-897.998,316.806,-606.603,,1562.877,-245.447,0.0,,,-245.447,-245.447,0.0,0.0,,,-851.727,0.0,-851.727,0.0,2660.051,503.373,-618.776,936.258,936.258,0.0,0.0,185.891,186.85,-0.959,0.0,34.557,3933.424,,,
03/31/2010,1522.752,1003.015,562.501,-284.771,173.866,-458.637,242.007,291.638,-49.631,0.0,0.0,-7658.76,-245.143,0.0,,0.0,-245.143,-245.143,0.0,0.0,,,-6415.648,0.0,-6415.648,0.0,-997.969,-520.199,-620.752,773.752,775.006,,-1.254,-673.199,188.169,-861.368,0.0,-586.312,-7242.519,,,
06/30/2010,2348.297,1291.65,675.202,403.448,84.224,319.224,-22.003,-45.803,23.8,0.0,0.0,303.832,-273.514,0.0,,,-273.514,-273.514,0.0,0.0,0.0,0.0,-504.395,0.0,-504.395,0.0,1081.741,212.878,-679.199,879.137,-2120.863,3000.0,0.0,12.94,15.419,-2.479,0.0,-110.125,2754.882,,,
09/30/2010,2548.413,890.66,677.024,777.408,72.146,705.262,203.321,230.374,-27.053,0.0,0.0,-2392.998,-205.085,0.0,,,-205.085,-205.085,0.0,0.0,0.0,0.0,-2200.0,0.0,-2200.0,0.0,12.087,-687.106,-679.423,-73.814,-73.814,0.0,0.0,66.131,68.457,-2.326,0.0,28.134,-503.557,,,
12/31/2010,2316.519,1441.0,709.578,-69.518,56.947,-126.465,235.459,-870.874,192.741,913.592,0.0,-2440.389,-291.333,0.0,,,-291.333,-291.333,0.0,0.0,,,-313.2,0.0,-313.2,0.0,-1835.856,-93.314,-692.101,543.073,1215.817,1000.0,-1672.744,55.714,56.366,-0.652,0.0,47.41,-169.774,,,
03/31/2011,2011.146,863.818,745.667,57.924,175.808,-117.884,343.737,298.953,44.784,0.0,0.0,-2301.23,-391.813,0.0,,,-391.813,-391.813,0.0,0.0,,,0.0,0.0,0.0,0.0,-1909.417,-684.334,-683.967,-104.369,396.213,,-500.582,104.002,175.752,-71.75,0.0,66.203,-908.215,,,
06/30/2011,2503.152,1942.782,811.412,-473.172,76.457,-549.629,222.13,216.935,5.195,0.0,0.0,205.593,-372.957,0.0,,0.0,-372.957,-372.957,0.0,0.0,0.0,0.0,-187.5,0.0,-187.5,0.0,766.05,-1386.181,-750.409,-727.58,778.517,0.0,-1506.097,91.808,93.903,-2.095,0.0,14.298,1336.862,,,
09/30/2011,3054.43,303.181,838.386,2158.679,67.838,2090.841,-245.816,-243.358,-2.458,0.0,0.0,991.995,-451.995,0.0,,,-451.995,-451.995,0.0,0.0,,,-485.0,0.0,-485.0,0.0,1928.99,-2668.122,-751.63,-1963.717,-1961.56,,-2.157,47.225,47.808,-0.583,0.0,-406.022,972.281,,,
12/31/2011,1401.349,1619.0,648.429,-547.096,62.499,-609.595,-318.984,-942.682,-177.142,800.84,0.0,1364.474,-274.735,0.0,,,-274.735,-274.735,0.0,0.0,,,0.0,0.0,0.0,0.0,1639.209,-1284.818,-752.09,-1181.445,-1177.855,1000.0,-1003.59,648.717,651.296,-2.579,0.0,282.516,1763.521,,,
03/31/2012,2224.93,1242.124,743.267,277.744,197.342,80.402,-38.205,132.482,-170.687,0.0,,-4891.765,-453.33,0.0,,0.0,-453.33,-453.33,0.0,0.0,,,-550.0,0.0,-550.0,0.0,-3888.435,165.225,-758.548,1345.029,1399.029,,-54.0,-300.407,687.279,-987.686,-120.849,34.7,-2466.91,,,
