company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2017.0,Q3YTD,2016-07-01,2017-03-31,2018-05-11 06:23:10+00:00,-345000000.0,349000000.0,,-504000000.0,,-152000000.0,-49000000.0,224000000.0,0.0,0.0,-5000000.0,-152000000.0,-49000000.0,219000000.0,18000000.0,-219000000.0,-219000000.0,0.0,598000000.0,,325000000.0,-93000000.0,-93000000.0,-168000000.0,-59000000.0,,,232000000.0
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2017.0,Q3TTM,2016-04-01,2017-03-31,,-379000000.0,484000000.0,-3000000.0,-388000000.0,,-206000000.0,-470000000.0,587000000.0,,-2000000.0,-13000000.0,-206000000.0,-472000000.0,574000000.0,-104000000.0,-110000000.0,-105000000.0,-5000000.0,596000000.0,,19000000.0,-152000000.0,-136000000.0,-244000000.0,-54000000.0,,,273000000.0
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2017.0,Q3,2017-01-01,2017-03-31,,-3000000.0,109000000.0,,76000000.0,,-31000000.0,69000000.0,220000000.0,,,-2000000.0,-31000000.0,69000000.0,218000000.0,256000000.0,,,,35000000.0,,13000000.0,-16000000.0,-54000000.0,-60000000.0,-15000000.0,,,173000000.0
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2017.0,Q2YTD,2016-07-01,2016-12-31,2018-02-09 06:11:02+00:00,-342000000.0,240000000.0,,-580000000.0,,-121000000.0,-118000000.0,4000000.0,0.0,0.0,-3000000.0,-121000000.0,-118000000.0,1000000.0,-238000000.0,-219000000.0,-219000000.0,0.0,563000000.0,,312000000.0,-77000000.0,-39000000.0,-108000000.0,-44000000.0,,,59000000.0
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2017.0,Q2TTM,2016-01-01,2016-12-31,,-761000000.0,501000000.0,-1000000.0,-218000000.0,342000000.0,128000000.0,-992000000.0,610000000.0,,13000000.0,-77000000.0,128000000.0,-979000000.0,533000000.0,-318000000.0,-240000000.0,-233000000.0,-7000000.0,560000000.0,,22000000.0,-150000000.0,-108000000.0,-244000000.0,-41000000.0,-23000000.0,,100000000.0
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2017.0,Q2,2016-10-01,2016-12-31,,-59000000.0,120000000.0,,-177000000.0,,-62000000.0,-107000000.0,272000000.0,,,,-62000000.0,-107000000.0,272000000.0,103000000.0,-219000000.0,-219000000.0,,548000000.0,,15000000.0,-59000000.0,-39000000.0,-59000000.0,-3000000.0,,,35000000.0
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2017.0,Q1,2016-07-01,2016-09-30,2017-11-09 19:02:27+00:00,-283000000.0,120000000.0,,-403000000.0,,-59000000.0,-11000000.0,-268000000.0,0.0,0.0,-3000000.0,-59000000.0,-11000000.0,-271000000.0,-341000000.0,0.0,0.0,0.0,15000000.0,,297000000.0,-18000000.0,0.0,-49000000.0,-41000000.0,,,24000000.0
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2017.0,Q1TTM,2015-10-01,2016-09-30,,-787000000.0,504000000.0,-1000000.0,-80000000.0,342000000.0,128000000.0,-1049000000.0,543000000.0,,13000000.0,-77000000.0,128000000.0,-1036000000.0,466000000.0,-442000000.0,61000000.0,92000000.0,-31000000.0,27000000.0,,7000000.0,-149000000.0,-91000000.0,-242000000.0,-39000000.0,-26000000.0,,65000000.0
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2018.0,FY,2017-07-01,2018-06-30,2019-08-13 07:10:07+00:00,-77000000.0,472000000.0,,438000000.0,95000000.0,-398000000.0,-321000000.0,757000000.0,0.0,0.0,0.0,-398000000.0,-321000000.0,757000000.0,38000000.0,-1444000000.0,-1444000000.0,0.0,1291000000.0,,33000000.0,-158000000.0,-51000000.0,-364000000.0,-335000000.0,,,138000000.0
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2018.0,Q4,2018-04-01,2018-06-30,,-15000000.0,175000000.0,,410000000.0,95000000.0,-164000000.0,-177000000.0,292000000.0,,,,-164000000.0,-177000000.0,292000000.0,-49000000.0,-355000000.0,-355000000.0,,62000000.0,,10000000.0,-59000000.0,-9000000.0,-164000000.0,-200000000.0,,,1000000.0
